[2020-08-08T09:50:20.450] [INFO] default - item A010C0O data_index done
[2020-08-08T09:50:23.277] [INFO] default - item A010C0O monthdata done
[2020-08-08T09:50:23.772] [INFO] default - item A010C0P data_index done
[2020-08-08T09:50:25.186] [INFO] default - item A010C0P monthdata done
[2020-08-08T09:50:25.772] [INFO] default - item A010C0Q data_index done
[2020-08-08T09:50:27.624] [INFO] default - item A010C0Q monthdata done
[2020-08-08T09:50:28.416] [INFO] default - item A010C0R data_index done
[2020-08-08T09:50:30.899] [INFO] default - item A010C0R monthdata done
[2020-08-08T09:50:31.705] [INFO] default - item A010C0S data_index done
[2020-08-08T09:50:34.368] [INFO] default - item A010C0S monthdata done
[2020-08-08T09:50:35.297] [INFO] default - item A010C0T data_index done
[2020-08-08T09:50:37.699] [INFO] default - item A010C0T monthdata done
[2020-08-08T09:50:38.416] [INFO] default - item A010C0U data_index done
[2020-08-08T09:50:40.090] [INFO] default - item A010C0U monthdata done
[2020-08-08T09:50:40.833] [INFO] default - item A010C0V data_index done
[2020-08-08T09:50:43.126] [INFO] default - item A010C0V monthdata done
[2020-08-08T09:50:43.907] [INFO] default - item A010C0W data_index done
[2020-08-08T09:50:46.284] [INFO] default - item A010C0W monthdata done
[2020-08-08T09:50:47.030] [INFO] default - item A010C0X data_index done
[2020-08-08T09:50:49.698] [INFO] default - item A010C0X monthdata done
[2020-08-08T09:50:50.339] [INFO] default - item A010C0Y data_index done
[2020-08-08T09:50:51.925] [INFO] default - item A010C0Y monthdata done
[2020-08-08T09:50:52.321] [INFO] default - item A010C0Z data_index done
[2020-08-08T09:50:53.348] [INFO] default - item A010C0Z monthdata done
[2020-08-08T09:50:53.638] [INFO] default - item A010C10 data_index done
[2020-08-08T09:50:54.231] [INFO] default - item A010C10 monthdata done
[2020-08-08T09:50:55.013] [INFO] default - item A010C11 data_index done
[2020-08-08T09:50:56.859] [INFO] default - item A010C11 monthdata done
[2020-08-08T09:50:57.248] [INFO] default - item A010C12 data_index done
[2020-08-08T09:50:58.210] [INFO] default - item A010C12 monthdata done
[2020-08-08T09:50:58.576] [INFO] default - item A010C13 data_index done
[2020-08-08T09:50:59.450] [INFO] default - item A010C13 monthdata done
[2020-08-08T09:50:59.807] [INFO] default - item A010D01 data_index done
[2020-08-08T09:51:05.444] [INFO] default - item A010D01 monthdata done
[2020-08-08T09:51:05.759] [INFO] default - item A010D02 data_index done
[2020-08-08T09:51:09.500] [INFO] default - item A010D02 monthdata done
[2020-08-08T09:51:09.831] [INFO] default - item A010D03 data_index done
[2020-08-08T09:51:14.408] [INFO] default - item A010D03 monthdata done
[2020-08-08T09:51:14.750] [INFO] default - item A010D04 data_index done
[2020-08-08T09:51:20.210] [INFO] default - item A010D04 monthdata done
[2020-08-08T09:51:20.648] [INFO] default - item A010D05 data_index done
[2020-08-08T09:51:27.966] [INFO] default - item A010D05 monthdata done
[2020-08-08T09:51:28.316] [INFO] default - item A010D06 data_index done
[2020-08-08T09:51:30.026] [INFO] default - item A010D06 monthdata done
[2020-08-08T09:51:30.791] [INFO] default - item A010D07 data_index done
[2020-08-08T09:51:44.516] [INFO] default - item A010D07 monthdata done
[2020-08-08T09:51:45.173] [INFO] default - item A010D08 data_index done
[2020-08-08T09:51:56.838] [INFO] default - item A010D08 monthdata done
[2020-08-08T09:51:57.187] [INFO] default - item A010D09 data_index done
[2020-08-08T09:52:04.071] [INFO] default - item A010D09 monthdata done
[2020-08-08T09:52:04.436] [INFO] default - item A010D0A data_index done
[2020-08-08T09:52:08.854] [INFO] default - item A010D0A monthdata done
[2020-08-08T09:52:09.511] [INFO] default - item A010D0B data_index done
[2020-08-08T09:52:21.721] [INFO] default - item A010D0B monthdata done
[2020-08-08T09:52:22.044] [INFO] default - item A010D0C data_index done
[2020-08-08T09:52:26.579] [INFO] default - item A010D0C monthdata done
[2020-08-08T09:52:27.060] [INFO] default - item A010D0D data_index done
[2020-08-08T09:52:35.137] [INFO] default - item A010D0D monthdata done
[2020-08-08T09:52:35.543] [INFO] default - item A010D0E data_index done
[2020-08-08T09:52:43.637] [INFO] default - item A010D0E monthdata done
[2020-08-08T09:52:44.101] [INFO] default - item A010D0F data_index done
[2020-08-08T09:52:53.303] [INFO] default - item A010D0F monthdata done
[2020-08-08T09:52:53.675] [INFO] default - item A010D0G data_index done
[2020-08-08T09:52:58.501] [INFO] default - item A010D0G monthdata done
[2020-08-08T09:52:58.799] [INFO] default - item A010D0H data_index done
